Ursprungspfad;Vorgeschlagener_Wiki_Ordner;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Handelsregister\Ausfertigung 2015.pdf;Unternehmensführung_Rechtliches/Handelsregister_Gewerbe;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Handelsregister\Handelsreg.pdf;Unternehmensführung_Rechtliches/Handelsregister_Gewerbe;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Handelsregister\Handelsregisterauszug.PDF;Unternehmensführung_Rechtliches/Handelsregister_Gewerbe;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Handelsregister\Handelsregisterauszug_klein.pdf;Unternehmensführung_Rechtliches/Handelsregister_Gewerbe;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Heinz\Umsatzdetails_Konto0319400000_EUR_02-10-2018_1118.pdf;Finanzen_Buchhaltung/Umsatz_Einnahmen;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Heinz\Umsatzdetails_Konto0319400000_EUR_02-10-2018_1119.pdf;Finanzen_Buchhaltung/Umsatz_Einnahmen;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Heinz\Umsatzdetails_Konto0319400000_EUR_02-10-2018_1120.pdf;Finanzen_Buchhaltung/Umsatz_Einnahmen;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Heinz\Umsatzdetails_Konto0319400000_EUR_02-10-2018_1121.pdf;Finanzen_Buchhaltung/Umsatz_Einnahmen;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Oliver\Geschäftsführervertrag Oliver.doc;Unternehmensführung_Rechtliches/Verträge_Management;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Oliver\Gesellschaftervertrag B+P (Oliver).doc;Unternehmensführung_Rechtliches/Verträge_Gesellschafter;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Oliver\Umsatzdetails_Konto0319400000_EUR_02-07-2018_1130 Hauke Kaltz.pdf;Finanzen_Buchhaltung/Umsatz_Einnahmen;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Oliver\Umsatzdetails_Konto0319400000_EUR_05-07-2018_1017.pdf;Finanzen_Buchhaltung/Umsatz_Einnahmen;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\Ausstiegsszenarien 13.11.2018.xls;Unternehmensführung_Rechtliches/Strategie_Konzepte;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\Ausstiegsszenarien.xls;Unternehmensführung_Rechtliches/Strategie_Konzepte;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\Auswirkung Szenarien auf Wertermittlung Anteil BBG.xlsx;Finanzen_Buchhaltung/Unternehmensbewertung;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\Baufeldt & Partner GmbH_§ 4e Abs 3 EStG.doc;Finanzen_Buchhaltung/Steuer_Rechtliches;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\ComBa Salden.xlsx;Finanzen_Buchhaltung/Bilanzen_Berichte;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\Darlehensvertrag BP-Gudrun Zech-Kohlhaas 03-2016.doc;Finanzen_Buchhaltung/Darlehen;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\Darlehensvertrag G_ZechKohlhaas.doc;Finanzen_Buchhaltung/Darlehen;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\Darlehensvertrag.doc;Finanzen_Buchhaltung/Darlehen;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\Geschäftsführervertrag DIGIBest.doc;Unternehmensführung_Rechtliches/Verträge_Management;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\Geschäftsführervertrag HaKo.doc;Unternehmensführung_Rechtliches/Verträge_Management;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\Gesellschaftervertrag B+P.doc;Unternehmensführung_Rechtliches/Verträge_Gesellschafter;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\Gewinnkorrekturen 2015.xls;Finanzen_Buchhaltung/Bilanzen_Berichte;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\HK-KS Einnahmen 2015-2017.xls;Finanzen_Buchhaltung/Umsatz_Einnahmen;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\HK-KS Einnahmen 2015.xls;Finanzen_Buchhaltung/Umsatz_Einnahmen;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\HK-KS Einnahmen 2018.xls;Finanzen_Buchhaltung/Umsatz_Einnahmen;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\Nebenabreden Ausstieg.xls;Unternehmensführung_Rechtliches/Verträge_Allgemein;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\Notarvertrag Vorgaben.docx;Unternehmensführung_Rechtliches/Verträge_Allgemein;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\Urlaubsverrechnung 1718.xls;Personal/Urlaubsmanagement;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\Vereinbarung über Zusammenarbeit 2019 (Anpassung HK)ÜKs.docx;Unternehmensführung_Rechtliches/Verträge_Allgemein;;
C:\Stick1Verbatim\Gesellschafter-Unterlagen B+P\Sonstige Verträge\Vereinbarung über Zusammenarbeit 2019.docx;Unternehmensführung_Rechtliches/Verträge_Allgemein;;
C:\Stick1Verbatim\HPSCANS\Scannen.pdf;Allgemeines/Scans;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\20160926_adressliste.pdf;Allgemeines/Adressen;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\2018_12_06 Baufeldt Bdrive Angebot.pdf;Vertrieb_Marketing/Angebote;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\5330112655_20160915-1132_Baufeldt &.pdf;Finanzen_Buchhaltung/Rechnungen_Belege;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\antrag_Simon_David_0001518617_1.pdf;Personal/Bewerbungen;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\Christian Vollmert.pdf;Personal/Bewerbungen;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\Daniele Esposito.pdf;Personal/Bewerbungen;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\David Odenthal.pdf;Personal/Bewerbungen;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\document(1).pdf;Allgemeines/Downloads;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\Kreditkartenabrechnung 2.7.2018.pdf;Finanzen_Buchhaltung/Kreditkartenabrechnungen;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\Kreditkartenabrechnung_548327449091XXXX_20181106.pdf;Finanzen_Buchhaltung/Kreditkartenabrechnungen;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\Liste.xls;Allgemeines/Downloads;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\Markus Hoevener.pdf;Personal/Bewerbungen;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\Maximilian Modl.pdf;Personal/Bewerbungen;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\Michael Jaeschke.pdf;Personal/Bewerbungen;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\Michael Schoettler.pdf;Personal/Bewerbungen;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\NEWretail2_IOT_im_Handel.pdf;Vertrieb_Marketing/Marktforschung_Studien;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\postbox-document.pdf;Allgemeines/Downloads;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\Schulung-E-Mail-Marketing.pdf;Vertrieb_Marketing/Schulungsunterlagen;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\TourKS2016.xls;Finanzen_Buchhaltung/Reisekosten;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\umweltbonus_2040107.pdf;Allgemeines/Downloads;;
C:\Stick1Verbatim\Inhalte BüroPC\Download Büropc\wunderuebungen_3_2.pdf;Allgemeines/Downloads;;
C:\Stick1Verbatim\Inhalte BüroPC\Gesellschafter-Unterlagen BBG+BSS+Contisoft\BBG\Aufträge Widerruf einer Vollmacht Baufeldt Beteiligungsgesellschaft mbH und Baufeldt Sales Solutions GmbH & Co.KG.pdf;Unternehmensführung_Rechtliches/Vollmachten;;
C:\Stick1Verbatim\Inhalte BüroPC\Gesellschafter-Unterlagen BBG+BSS+Contisoft\BBG\Gewerbeanmeldung BBG.pdf;Unternehmensführung_Rechtliches/Handelsregister_Gewerbe;;
C:\Stick1Verbatim\Inhalte BüroPC\Gesellschafter-Unterlagen BBG+BSS+Contisoft\BBG\Handelsreg. BBG.PDF;Unternehmensführung_Rechtliches/Handelsregister_Gewerbe;;
C:\Stick1Verbatim\Inhalte BüroPC\Gesellschafter-Unterlagen BBG+BSS+Contisoft\BBG\Umschreibung DU HRA.pdf;Unternehmensführung_Rechtliches/Handelsregister_Gewerbe;;
C:\Stick1Verbatim\Inhalte BüroPC\Gesellschafter-Unterlagen BBG+BSS+Contisoft\BSS\BSS Entnahmen ab 2017.xlsx;Finanzen_Buchhaltung/Bilanzen_Berichte;;
C:\Stick1Verbatim\Inhalte BüroPC\Gesellschafter-Unterlagen BBG+BSS+Contisoft\BSS\Gewerbeanmeldung BSS.pdf;Unternehmensführung_Rechtliches/Handelsregister_Gewerbe;;
C:\Stick1Verbatim\Inhalte BüroPC\Gesellschafter-Unterlagen BBG+BSS+Contisoft\BSS\Gewerbeanmeldung BSS2.pdf;Unternehmensführung_Rechtliches/Handelsregister_Gewerbe;;
C:\Stick1Verbatim\Inhalte BüroPC\Gesellschafter-Unterlagen BBG+BSS+Contisoft\BSS\Handelsreg. BSS.pdf;Unternehmensführung_Rechtliches/Handelsregister_Gewerbe;;
C:\Stick1Verbatim\Inhalte BüroPC\Gesellschafter-Unterlagen BBG+BSS+Contisoft\Contisoft\Gesellschafterliste Contisoft GmbH.doc;Unternehmensführung_Rechtliches/Gesellschafterlisten;;
C:\Stick1Verbatim\Inhalte BüroPC\Gesellschafter-Unterlagen BBG+BSS+Contisoft\Contisoft\Handelsreg. Contisoft.pdf;Unternehmensführung_Rechtliches/Handelsregister_Gewerbe;;
C:\Stick1Verbatim\Kohlhaas\Alle Verträge ab 01.01.2015.xls;Unternehmensführung_Rechtliches/Vertragsübersichten;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Strategie240417.xlsx;Unternehmensführung_Rechtliches/Strategie_Konzepte;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Allianz Softwareversicherung\20041501.PDF;IT_Systeme/Versicherungen;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Allianz Softwareversicherung\Abrechnung.doc;Finanzen_Buchhaltung/Rechnungen_Belege;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Allianz Softwareversicherung\Fehlerhafter Windows Patch.docx;IT_Systeme/Vorfälle_Störungen;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Allianz Softwareversicherung\Rechnung.pdf;Finanzen_Buchhaltung/Rechnungen_Belege;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Allianz Softwareversicherung\software-schadenanzeige.doc;IT_Systeme/Vorfälle_Störungen;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Allianz Softwareversicherung\Zeiterfassung BUP.PDF;Personal/Zeiterfassung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Abrechnungsverfahren Smile Preismixx-System 2015 06 06.pdf;Produkte_Dienstleistungen/Smile_Preismixx;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\angebot 2015_92.pdf;Vertrieb_Marketing/Angebote;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Gesellschafterbeschluss Gehalt HK.docx;Unternehmensführung_Rechtliches/Gesellschafterbeschlüsse;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Gesellschaftervertrag alt.doc;Unternehmensführung_Rechtliches/Verträge_Gesellschafter;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Gesellschaftervertrag B+P.doc;Unternehmensführung_Rechtliches/Verträge_Gesellschafter;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\logoideen_smile-a.pdf;Vertrieb_Marketing/Branding_Design;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Protokoll Gehaltsveränderung HK.doc;Unternehmensführung_Rechtliches/Gesellschafterbeschlüsse;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\WP_Arbeiten_2025.pdf;Finanzen_Buchhaltung/Wirtschaftsprüfung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Ausbildungsverträge\Ausbildungsvertrag David Simon.pdf;Personal/Ausbildungsverträge;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Ausbildungsverträge\M6_Ausbilderkarte-data.pdf;Personal/Ausbilder_Dokumente;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Banken\VW-Bank 01 00 126 00_EDAT_Vertrag_PKB_12_2014_2_edit.pdf;Finanzen_Buchhaltung/Bank_Dokumente;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Crefo-Auskünfte\Auskunft 25.8.2016.pdf;Finanzen_Buchhaltung/Bonitätsprüfungen;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Gesellschaft\Geschäftsführervertrag HaKo - (HK)_1.doc;Unternehmensführung_Rechtliches/Verträge_Management;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Gesellschaft\Geschäftsführervertrag HaKo - (Ks)_1.doc;Unternehmensführung_Rechtliches/Verträge_Management;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Gesellschaft\Geschäftsführervertrag HeKn - (HK).doc;Unternehmensführung_Rechtliches/Verträge_Management;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Gesellschaft\Geschäftsführervertrag HeKn - (Ks).doc;Unternehmensführung_Rechtliches/Verträge_Management;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Gesellschaft\Geschäftsführervertrag OK.PDF;Unternehmensführung_Rechtliches/Verträge_Management;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Gesellschaft\Gesellschaftervertrag 2015_75dpi.pdf;Unternehmensführung_Rechtliches/Verträge_Gesellschafter;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Gesellschaft\Gesellschaftervertrag B+P (HK).doc;Unternehmensführung_Rechtliches/Verträge_Gesellschafter;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Gesellschaft\Gesellschaftervertrag B+P (Ks).doc;Unternehmensführung_Rechtliches/Verträge_Gesellschafter;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Mitarbeiter\Abmahnung.doc;Personal/Mitarbeiter_Vorfälle;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Mitarbeiter\Arbeitszeugnis Speder.docx;Personal/Zeugnisse;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Mitarbeiter\Aufhebungsvertrag.doc;Personal/Mitarbeiter_Vorfälle;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Mitarbeiter\Guter Baufeldt-Mitarbeiter.doc;Personal/Mitarbeiterführung_Konzepte;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Mitarbeiter\Kündigung.doc;Personal/Mitarbeiter_Vorfälle;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Mitarbeiter\Telefonauswertung 1 - 6 2016.xls;IT_Systeme/Telekommunikation;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Mitarbeiter\Umsatzliste Werbung2016.xls;Vertrieb_Marketing/Umsatzanalyse_Werbung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Mitarbeiter\Zwischenzeugnis Frischauf.docx;Personal/Zeugnisse;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Mitarbeiter\Zwischenzeugnis Klimek.docx;Personal/Zeugnisse;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Mitarbeiter\Zwischenzeugnis M.Kuss.doc;Personal/Zeugnisse;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Mitarbeiter\Zwischenzeugnis Pirweck.docx;Personal/Zeugnisse;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Mitarbeiter\Zwischenzeugnis-Kesting.docx;Personal/Zeugnisse;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\B&P\Mitarbeiter\Übersicht_Kunden_KG.xls;Vertrieb_Marketing/Kundenübersichten;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\BAFA\AQM3_NW_Selbstnachweis;Internes Audit _29.06.2012_;Inter.pdf;Qualitätsmanagement/Audits_Zertifizierungen
C:\Stick1Verbatim\Kohlhaas\Dokumente\BAFA\BAFA Nachweis Baufeldt & Partner (23.11.2012).pdf;Qualitätsmanagement/Audits_Zertifizierungen;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Baufeldt Themen Adhoc\2SeiteneinerMedaille.ppt;Vertrieb_Marketing/Präsentationen;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Baufeldt Themen Adhoc\Kennzahlen Apotheke adhoc.doc;Geschäftsbereiche/Apothekenberatung_Kennzahlen;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Baufeldt Themen Adhoc\Kennzahlen AZ.doc;Geschäftsbereiche/Apothekenberatung_Kennzahlen;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Baufeldt Themen Adhoc\Kennzahlen Screenshots.doc;Geschäftsbereiche/Apothekenberatung_Kennzahlen;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Baufeldt Themen Adhoc\Kennzahlen(Detail).doc;Geschäftsbereiche/Apothekenberatung_Kennzahlen;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Baufeldt Themen Adhoc\Schlüsselprodukte.doc;Produkte_Dienstleistungen/Sortimentsmanagement;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Baufeldt Themen Adhoc\Sortiment.doc;Produkte_Dienstleistungen/Sortimentsmanagement;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Baufeldt Themen Adhoc\Standortfindung Screenshot.docx;Geschäftsbereiche/Standortanalysen;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Baufeldt Themen Adhoc\Standortfindung.doc;Geschäftsbereiche/Standortanalysen;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Baufeldt Themen Adhoc\Themenliste Baufeldt.doc;Unternehmensführung_Rechtliches/Strategie_Konzepte;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Baufeldt Themen Adhoc\Wissenschaftliche Zertifizierung.doc;Qualitätsmanagement/Zertifizierungen;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Baufeldt Themen Adhoc\Zusammenarbeit Steuerberater.doc;Finanzen_Buchhaltung/Steuer_Rechtliches;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Baufeldt Themen AZ\Kohlhaas_Fallbeispiel_wes_ks.docx;Geschäftsbereiche/Apothekenberatung_Fallstudien;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Baufeldt Themen AZ\Kohlhaas_Kennzahlen_wes_ks.doc;Geschäftsbereiche/Apothekenberatung_Kennzahlen;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Baufeldt Themen AZ\ma_2016_S6_Kennzahlen.pdf;Geschäftsbereiche/Apothekenberatung_Kennzahlen;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Baufeldt Themen AZ\Mit den richtigen Kennzahlen eine Apotheke vorwärts bringen.doc;Geschäftsbereiche/Apothekenberatung_Leitfäden;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Bekaert\Installationsdiagramm Bekaert Mähroboter.xls;Projekte/Bekaert;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Bewerbungen\Bewerberfragen.doc;Personal/Bewerbungen_Prozesse;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Briefe\Adressdb.xls;Allgemeines/Adressen;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Briefe\Brief BP Person.doc;Allgemeines/Korrespondenz;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Briefe\Brief BP Spesen.doc;Allgemeines/Korrespondenz;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Briefe\Briefbpohne.doc;Allgemeines/Korrespondenz;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Briefe\BRIEFHK.DOC;Allgemeines/Korrespondenz;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Briefe\Geburtstagsgutschein.doc;Personal/Templates;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Briefe\Gutschrift BSS.doc;Finanzen_Buchhaltung/Gutschriften;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Briefe\Kündigung.doc;Personal/Templates;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Briefe\RechnDK.doc;Finanzen_Buchhaltung/Rechnungen_Belege;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Briefe\Rechnung BSS.doc;Finanzen_Buchhaltung/Rechnungen_Belege;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Briefe\Rechnung Contisoft.doc;Finanzen_Buchhaltung/Rechnungen_Belege;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Briefe\Rechnungbpohne.doc;Finanzen_Buchhaltung/Rechnungen_Belege;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Briefe\Zeugnisschreiben B+P Geis.doc;Personal/Zeugnisse_Templates;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Briefe\Zeugnisschreiben B+P Simon.doc;Personal/Zeugnisse_Templates;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Briefe\Zeugnisschreiben B+P.doc;Personal/Zeugnisse_Templates;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\BSS\Bewertungsvertrag BSS.doc;Unternehmensführung_Rechtliches/Verträge_Allgemein;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\BSS\Eigenbeleg.doc;Finanzen_Buchhaltung/Rechnungen_Belege;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\BSS\Umsatzliste2016 BSS+DK.xlsx;Finanzen_Buchhaltung/Umsatz_Einnahmen;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Elektronische Preisauszeichnung\Amortisationsrechnung Elektronische Preisauszeichnung.xls;Projekte/Elektronische_Preisauszeichnung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Elektronische Preisauszeichnung\Preise Apotheken_2.xlsx;Projekte/Elektronische_Preisauszeichnung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Elektronische Preisauszeichnung\Preisliste.xls;Projekte/Elektronische_Preisauszeichnung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Elektronische Preisauszeichnung\UpdateFile_FullDataIntegration_v3.3_1.xls;Projekte/Elektronische_Preisauszeichnung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Elektronische Preisauszeichnung\Woutex_ESL_Schnittstellenbeschreibung mit Daten (V1).xls;Projekte/Elektronische_Preisauszeichnung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Elektronische Preisauszeichnung\Woutex_ESL_Schnittstellenbeschreibung.pdf;Projekte/Elektronische_Preisauszeichnung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Elektronische Preisauszeichnung\Woutex_ESL_Schnittstellenbeschreibung_1.pdf;Projekte/Elektronische_Preisauszeichnung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Elektronische Preisauszeichnung\Woutex_ESL_Schnittstellenbeschreibung_1.xls;Projekte/Elektronische_Preisauszeichnung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Elektronische Preisauszeichnung\Woutex_ESL_Schnittstellenbeschreibung_1_SEITE1.xls;Projekte/Elektronische_Preisauszeichnung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Kunden mit Sonderbetreuung\Elch, Solingen\Auszug Preisstatusreport Elch Apotheke Solingen.xlsx;Vertrieb_Marketing/Kundenprojekte_Sonderbetreuung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Kunden mit Sonderbetreuung\Malteser Dinslaken\AnalyseApril2014.xls;Vertrieb_Marketing/Kundenprojekte_Sonderbetreuung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Kunden mit Sonderbetreuung\Malteser Dinslaken\AnalyseAug2013.xls;Vertrieb_Marketing/Kundenprojekte_Sonderbetreuung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Kunden mit Sonderbetreuung\Malteser Dinslaken\AnalyseDez2013.xls;Vertrieb_Marketing/Kundenprojekte_Sonderbetreuung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Kunden mit Sonderbetreuung\Malteser Dinslaken\AnalyseFebr2014.xls;Vertrieb_Marketing/Kundenprojekte_Sonderbetreuung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Kunden mit Sonderbetreuung\Malteser Dinslaken\AnalyseJan2014.xls;Vertrieb_Marketing/Kundenprojekte_Sonderbetreuung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Kunden mit Sonderbetreuung\Malteser Dinslaken\AnalyseJuli2013.xls;Vertrieb_Marketing/Kundenprojekte_Sonderbetreuung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Kunden mit Sonderbetreuung\Malteser Dinslaken\AnalyseJuli2014.xls;Vertrieb_Marketing/Kundenprojekte_Sonderbetreuung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Kunden mit Sonderbetreuung\Malteser Dinslaken\AnalyseJuni2014.xls;Vertrieb_Marketing/Kundenprojekte_Sonderbetreuung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Kunden mit Sonderbetreuung\Malteser Dinslaken\AnalyseMai2014.xls;Vertrieb_Marketing/Kundenprojekte_Sonderbetreuung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Kunden mit Sonderbetreuung\Malteser Dinslaken\AnalyseMärz2014.xls;Vertrieb_Marketing/Kundenprojekte_Sonderbetreuung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Kunden mit Sonderbetreuung\Malteser Dinslaken\AnalyseNov2013.xls;Vertrieb_Marketing/Kundenprojekte_Sonderbetreuung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Kunden mit Sonderbetreuung\Malteser Dinslaken\AnalyseOkt2013.xls;Vertrieb_Marketing/Kundenprojekte_Sonderbetreuung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Kunden mit Sonderbetreuung\Malteser Dinslaken\AnalyseSept2013.xls;Vertrieb_Marketing/Kundenprojekte_Sonderbetreuung;;
C:\Stick1Verbatim\Kohlhaas\Dokumente\Kunden mit Sonderbetreuung\Malteser Dinslaken\Daten von 01.07.2013 bis 30.06.2014 ohne Umsatz=0 und ohne GKV.xls;Vertrieb_Marketing/Kundenprojekte_Sonderbetreuung;;
